operator,number_route,service,delay_above_min,on_time_percentage,cancellation_rate,can_book_before_month,external_booking,additional_language,english,cancel_condition,cancellation_possible,refund_cancell,refund_constraints,cancellaton_condition,modi_condition,modify_posible,conpendation _delay,english_compensation,conpensation_submit,deadline_compensation_delay,criteria_compensation_delay,catering_details,catering_offer,electricity_plug,Wifi,average_speed,age_reduction_price,details_age_reduction,subscription_reduction,handicaped_reduced,handicaped_details,family_reduction,night_train,night_routes,with_bike
Avanti West Coast,10,All,5,72%,7%,3,Yes,(10 languages on top of English) Switch back to EN on the result page. ,Yes,Anytime or OffPeak ticket: 5 pounds. Advence/Normal ticket: No refund but you can change the date to leave earlier. (Avanti Website),Yes,Varies,Both,"Anytime/OffPeak: £5 fee. Advance: No refund, can change date",Yes with an admin fee.,Possible,Yes,Yes,website,28 days ,"For a single ticket: From 15min, 25%, from 30min, 50%, from 1 hour, 100%.",Snacks only. Meals are just for first class passengers. ,Yes,Yes,Yes,136.1316303,Yes,4 different ages category cards,Yes,Yes,paid card,Yes,No,0,46%
DB,10,Long distance,6,64%,3%,12,Yes,English and 7 languages,Yes,"Exchange or cancellation of flexible fare tickets for longdistance transport (ICE, IC/EC) incurs a fee of EUR 19. Free before the first day of validity. ",Possible,100% minus fee,Time,"Free before first day of validity, €19 fee after",Not possible,Not Possible,No,Yes,website,3 months,"If your arrival at the destination station is delayed by 60 minutes or more, you will receive compensation of 25% of the price paid for a single ticket
If your arrival at the destination station is delayed by 120 minutes or more, you will receive compensation of 50% of the price paid for a single ticket",Meals (Source: rail blog),Yes,Yes,Yes,136.2104167,Yes,"Yes, but the card needs to be bought",Yes,Yes,Paid card,No,No,0,66%
DSB,10,Long distance/regional,3,72%,,6,Yes,English,Yes,Free until on day of departure. On the day of departure : 100DKK fee. Website ,Possible,100% minus fee,Time,"Free until day of departure, 100 DKK fee on departure day",Free unless on same day (40DKK fee) ,Possible,No,Yes,contact form,3 years,"30 minutes or more         50% of the price of the trip
60 minutes or more         75% of the price of the trip
90 minutes or more         100% of the price of the trip 
(For domestic travels) ",Snacks ,Yes,Depends,Yes,107.0336301,Yes,"Yes, but the card needs to be bought",Yes,Yes,Yes: info here,No,No,0,36%
Eurostar,10,All,15,82%,,11,Yes,"English, French, Dutch, German",Yes,"You can get a refund with a £25/€25/$40 fee per leg, per person up to seven days before departure. You can’t change your departure or destination stations.",Possible,100% minus fee,Time,"£25/€25/$40 fee per leg, up to 7 days before departure",Standard and Standard Premier tickets on our routes to and from London are Now exchangeable with No fee up until one hour before your original departure time. You'll need to pay any difference in fare.,Possible,No,Yes,website,3 months,"60 – 119 mins         
25% of the cost of the affected leg as a cash refund
        
120 – 179 mins       
50% of the cost of the affected leg as a cash refund
        
180+ mins
50% of the cost of the affected leg as a cash refund",Sandwichs and snacks (website),Yes,Yes,Yes,146.2509371,Yes,Yes,Yes,Yes,Yes: info here,No,No,0,0%
Flixtrain,10,All,15,78%,,6,Yes,English,Yes,"Depending on when you cancel you the % of reimbursment vary: 
Less than 1 day        25%
Between 1 and 6 days        50%
Between 7 and 29 days        75%
30 days or more        100%",Possible,25100%,Time,"<1 day: 25%, 16 days: 50%, 729 days: 75%, 30+ days: 100%",Yes free of charge up to 15min  before departure. Have to pay the price difference. (email),Possible,No,Yes,website,No deadline,"Under the EU Rail Passenger Rights Regulation, when faced with a delay between 60 and 119 minutes upon arrival, you have the right to:
• continue the trip and get a refund of 25% of the ticket price

Under the EU Rail Passenger Rights Regulation, when faced with a delay of 120 minutes and more upon arrival, you have the right to:
• continue the trip and get a refund of 50% of the ticket price",No (source),No,Yes,Yes,134.1319968,No,No,No,No,No,No,No,0,26%
GWR,10,All,5,84%,5%,6,Yes,No,No,Yes with 5£ fee and possible until day of departure. ,Possible,100% minus fee,Time,Until day of departure with £5 fee,"It’s free of charge to change Anytime, OffPeak and Super OffPeak tickets. 10£ for advance ticket. up to the date of departure (website)",Possible,Yes,Yes,website,28 days,"15  29 minutes (all single tickets)
        25%

30  59 minutes
        50%

60  119 minutes
        100%
   
Over 120 minutes
        100%
  ",Snacks (meals just for first class). Website,Yes,Yes,Yes,120.7170976,Yes,"Yes, but the card needs to be bought",Yes,Yes,Paid card. Info here,Yes,Yes,1,40%
Italo,10,All,5,69%,1%,6,Yes,English,Yes,Normal/ecoNomy fares allow for a 60% refund if you cancel your ticket. ,Possible,60%,Ticket,Normal/ecoNomy fares only,Normal/ecoNomy fare allows for unlimited changes to travel times/dates up to 3 minutes prior to departure time for a 20% additional fee. ,Possible,Yes (voucher),Yes,website,1 year," between 60 minutes and 119 minutes of late arrival, compensation equal to 25% of the ticket price;
• delay in arrival of more than 120 minutes, compensation equal to 50% of the ticket price.",Snacks (website),Yes,Yes,Yes,146.7195335,Yes,Yes. For youths and senior,Yes,Yes,Yes,Yes,No,0,0%
NS,10,Intercity,5,88%,7%,3,Yes,English,Yes,No (Chatbot),Not Possible,No refund,No refund,No refund,No (Chat),Not Possible,No,partly,website,3 months,"For a delay of 30 to 59 minutes when travelling aboard an NS train, you are eligible for a refund of 50% of your fare. For a delay of at least 60 minutes when travelling aboard an NS train, you are eligible for a refund of 100% of your fare. ",No,No,Depends,Yes,83.46221062,Yes,"Discount is Not automatic for student, need to do some paper work to have their card, but looks FREE. For Senior, need to pay a subscription, and then an extra to get senior reduction",Yes,No,Nothing about special prices for persons with reduced mobility,No,No,0,60%
OBB,10,Long distance,5,80%,,6,Yes,English,Yes,ÖBB StandardTicket: Can be cancelled and refunded free of charge prior to the first day of validity on the outbound journey. (website),Possible,100%,Time,Free before first day of validity,No modification possible. ,Not Possible,No,Yes,website,1 year,"As a rule, you are entitled to receive 25% of the one way fare of your ÖBB ticket for delays starting from 60 minutes and 50% for delays starting from 120 minutes. Compensations under € 4. are Not paid out",proper meals (website) ,Yes,Yes,Yes,106.0593277,Yes,The reduction card need to be bought,Yes,Yes,Persons with reduced mobility directly get 50%,Yes,Yes,29,52%
Ouigo,10,Ouigo,5,75%,4%,9,Yes,English,Yes,No (website),Not Possible,No refund,No refund,No refund,"Possible until 30 minutes before the departure, for a fee of 19€. ",Possible,Yes (voucher),Yes,website, 6 months,"    Votre train a moins d' 1 h de retard à l'arrivée : vous n'avez droit à aucune compensation.
    Votre train comprend un retard entre 1 h et 1 h 59 à l'arrivée : votre compensation s'élève à 25 % du montant total du billet concerné par le retard (hors option et hors Animal) 
    Votre train a un retard supérieur à 2 h à l'arrivée : votre compensation s'élève à 50 % du montant total du billet concerné par le retard (hors option et hors Animal) ",snack in OUigo train classique),Yes,Yes,Yes,201.9174338,Yes,Max senior and max jeune works on Ouigo. Needed to pay for the subscription to these services,No,No,"No reduction for person with reduce mobility. (Information here from SNCF, but this apply in Ouigo trains too)",No,No,0,0%
